Url,Title,IssueDate,Description,GOV.UK content type,User need (As a user I want to...),Redirect (either GOV.UK url or TNA),Comments
http://www.bis.gov.uk/cicregulator,Community Interest Companies,4/7/2011,Office of the Regulator of Community Interest Companies (CICs) has a clear mission to regulate and to raise awareness of the CIC model throughout the UK.,Department home page,,,
http://www.bis.gov.uk/cicregulator/forms-introduction,Forms introduction,5/23/2011,Introductory page providing information about the forms held on the CIC site.,Document series,access forms,,CICs: forms and guidance for applicants
http://www.bis.gov.uk/cicregulator/forms-introduction/index,Forms index,5/23/2011,List of forms for the different processes involved in setting up and maintaining a Community Interest Company.,Document series,access forms,,CICs: forms and guidance for applicants
http://www.bis.gov.uk/cicregulator/forms-introduction/index/forming-community-interest-company,Forming a Community Interest Company,5/24/2011,List of forms and related information required for forming a Community Interest Company.,Publication - Guidance,form a CIC,,"html pub

CIC36 word attachments need combining to make another pub (type = form)"
http://www.bis.gov.uk/cicregulator/forms-introduction/index/forming-community-interest-plc,Forming a Community Interest Public Limited Company,5/25/2011,Collection of links to forms and documentation required for forming a community interest plublic limited company.,Publication - Guidance,form a CIPLC,,"html pub

CIC36 word attachments will be links to pub (see row 6)"
http://www.bis.gov.uk/cicregulator/forms-introduction/index/converting-company-to-CIC,Converting an existing company to a Community Interest Company,5/25/2011,Collection of forms and documentation that need to be completed in order to convert an existing limited company into a community interest company.,Publication - Guidance,convert an exisiting company to a CIC,,"html pub

CIC37 word attachments need combining to make another pub (type = form)

'A copy of the special resolution(s)' will need to become a pub"
http://www.bis.gov.uk/cicregulator/forms-introduction/index/converting-charity-to-cic,Converting a charitable company to a Community Interest Company,5/25/2011,Collection of forms and documents required for converting a charitable company into a community interest company.,Publication - Guidance,convert an charitable company to a CIC,,"html pub

CIC37 word attachments will be links to pub (see row 8)"
http://www.bis.gov.uk/cicregulator/forms-introduction/index/converting-industrial-provident-society-to-cic-ews,"Converting an Industrial & Provident Society to a Community Interest Company (England, Wales & Scotland)",5/25/2011,Collection of forms and documents for converting an Industrial and Provident Society to a community interest company,Publication - Guidance,"convert an Industrial & Provident Society to a CIC in England, Wales & Scotland",,"html pub

'the special resolution(s)' will become a pub (see row 8)"
http://www.bis.gov.uk/cicregulator/forms-introduction/index/converting-industrial-provident-society-to-cic-ni,Converting an Industrial & Provident Society to a Community Interest Company (Northern Ireland only),5/25/2011,Collection of forms and documents required for the conversion of an Industrial and Provident Society into a community interest company.,Publication - Guidance,convert an Industrial & Provident Society to a CIC in Northern Ireland,,"html pub

CIC36 word attachments will be links to pub (see row 6)"
http://www.bis.gov.uk/cicregulator/forms-introduction/index/converting-private-company-to-cic-plc,Converting a private company to a Community Interest Public Limited Company,5/25/2011,A collection of forms and documents required for the conversion of a private company to a community interest public limited company.,Publication - Guidance,convert a private company to a CIPLC,,"html pub

CIC37 word attachments will be links to pub (see row 8)"
http://www.bis.gov.uk/cicregulator/forms-introduction/index/converting-plc-to-cic-plc,Converting a Public Limited Company to a Community Interest Public Limited Company,5/25/2011,Collection of forms and documents to use when converting a public limited company to a community interest public limited company.,Publication - Guidance,convert a PLC to a CIPLC,,"html pub

CIC37 word attachments will be links to pub (see row 8)

'the special resolution(s)' will become a pub (see row 8)"
http://www.bis.gov.uk/cicregulator/forms-introduction/index/changing-asset-locked-body,Changing or specifying an asset-locked body in the articles of association,5/26/2011,Collection of forms and documents required to change or specify an asset lock,Publication - Guidance,convert or specify an asset-locked body in the articles of association,,"html pub

'the special resolution(s)' will become a pub (see row 8)"
http://www.bis.gov.uk/cicregulator/forms-introduction/index/altering-clauses,Altering clauses in the articles of association,6/1/2011,Information about the steps required to alter a clause in the articles of association.,Publication - Guidance,alter clauses in the articles of association,,"html pub

'the special resolution(s)' will become a pub (see row 8)"
http://www.bis.gov.uk/cicregulator/forms-introduction/index/altering-object-statement,Altering the object statement of a CIC,6/1/2011,A collection of forms and documents required for changing the object statement of a community interest company.,Publication - Guidance,alter the object statement of a CIC,,"html pub

CIC14 word attachments need combining to make another pub (type = form)

'the special resolution(s)' will become a pub"
http://www.bis.gov.uk/cicregulator/forms-introduction/index/changing-status-cic-to-cic-plc,Changing the status of a Community Interest Company to a Community Interest public limited company,5/25/2011,Collection of forms and documents required to change the status of a community interest company into a community interest public limited company.,Publication - Guidance,change the status of a CIC to a CIPLC,,html pub
http://www.bis.gov.uk/cicregulator/forms-introduction/index/converting-cic-to-charitable-company,Converting a Community Interest Company to a charitable company,5/25/2011,Collection of forms and documents for converting a community interest company into a charitable company.,Publication - Guidance,converting a CIC to a charitable company,,html pub
http://www.bis.gov.uk/cicregulator/forms-introduction/index/converting-cic-to-ips-ews,"Converting a Community Interest Company to an Industrial and Provident Society (England, Wales and Scotland)",5/26/2011,Information about how to convert a community interest company into an Industrial and Provident Society.,Publication - Guidance,"convert a CIC to an Industrial and Provident Society in England, Wales and Scotland",,html pub
http://www.bis.gov.uk/cicregulator/forms-introduction/index/converting-cic-to-ips-ni,Converting a Community Interest Company to a Industrial Provident Society (Northern Ireland only),5/26/2011,Information about converting a community interest company into an Industrial and Provident Society.,Publication - Guidance,convert a CIC to a Industrial Provident Society (Northern Ireland only),,html pub
http://www.bis.gov.uk/cicregulator/forms-introduction/index/cic-dissolution,Voluntary dissolution of a Community Interest Company,5/26/2011,Collection of forms and documents for applying for the dissolution of a community interest company.,Publication - Guidance,remove a CIC from the public register,,"html pub

CIC35 word attachments need combining to make another pub (type = form)

'Return Reply provide to respond to the Regulator’s letter' (???) will need to become a pub"
http://www.bis.gov.uk/cicregulator/forms-introduction/index/cic-reports-accounts,Delivering an annual Community Interest Company report and accounts,5/26/2011,A collection of forms and documents required by the Regulator of Community Interest Companies.,Publication - Guidance,deliveran annual CIC report and accounts,,"html pub

CIC34 word attachments need combining to make another pub (type = form)
"
http://www.bis.gov.uk/cicregulator/forms-introduction/forms-guidance,Forms guidance,5/24/2011,Guidance on the available forms including customer guidelines,Document series,access forms,,Customer guidelines' should be added to the docs series (CICs: forms and guidance for applicants)
http://www.bis.gov.uk/cicregulator/forms-introduction/consitution-guidance,Constitution guidance,5/24/2011,Important information about what needs to be done if a model Memorandum or Articles of Association is not used.,Publication - Guidance,know what to do if a model Memorandum or Articles of Association is not used,,
http://www.bis.gov.uk/cicregulator/forms-introduction/consitution-guidance/model-constitutions,Model constitutions for Community Interest Companies,5/24/2011,Introductory information about the model constitiutions and links to the appropriate documents.,Publication - Guidance,access information about the model constitiutions and appropriate documents.,,combine with 'constitution guidance' (row 24)
http://www.bis.gov.uk/cicregulator/Search,,4/7/2011,Site search for the CIC Regulator's website.,Content already exists on gov.uk - content or search,search for CIC related info,,redirect to department home page
http://www.bis.gov.uk/cicregulator/about-us,About us,4/7/2011,All about CIC's,Content already exists on gov.uk - content or search,find out what a CIC is,https://www.gov.uk/set-up-a-social-enterprise,TBC
http://www.bis.gov.uk/cicregulator/about-us/regulator,The Regulator,4/19/2011,Details about the CIC's Regulator,Role,know what the CIC regulator does,,
http://www.bis.gov.uk/cicregulator/about-us/regulator-registrar,Regulator and Registrar,4/19/2011,Functions of the Regulator and the Registrar,About us,know about the ORCIC,,
http://www.bis.gov.uk/cicregulator/appeal-complaint-procedures,Appeal and complaint procedures,5/24/2011,Office of the Regulator of Community Interest Companies appeal and complaint procedures.,Corporate information - Complaints procedure,appeal against a decision and/or make a complaint,,
http://www.bis.gov.uk/cicregulator/case-studies,Case studies,6/28/2011,These case studies give a flavour of the good work Community Interest Companies (CICs) are doing around the UK.,Document series,find out about exisiting CICs,,
http://www.bis.gov.uk/cicregulator/case-studies/allendale-creative-artists,Allendale Creative Artists,6/10/2011,A case study about the Allendale Creative Artists Community Interest Company.,Case study,find out about exisiting CICs,,Some case studies to be archived - TBC
http://www.bis.gov.uk/cicregulator/case-studies/bewdley-development-trust,Bewdley Development Trust,6/10/2011,Case study of Bewdley Development Trust Community Interest Company.,Case study,find out about exisiting CICs,,Some case studies to be archived - TBC
http://www.bis.gov.uk/cicregulator/case-studies/bookdonors,Bookdonors,6/10/2011,Case study of the Bookdonors Community Interest Company,Case study,find out about exisiting CICs,,Some case studies to be archived - TBC
http://www.bis.gov.uk/cicregulator/case-studies/blues-and-beer,Blues and Beer,1/5/2012,"A case study of the Blues and Beer Commmunity Interest Company in Wallingford, Oxfordshire.",Case study,find out about exisiting CICs,,Some case studies to be archived - TBC
http://www.bis.gov.uk/cicregulator/case-studies/bristol-together,Bristol Together,1/5/2012,A case study of Bristol Together CIC,Case study,find out about exisiting CICs,,Some case studies to be archived - TBC
